processing_time,queue_time,machine_downtime,resource_utilization,defect_rate,batch_size,customer_satisfaction,system_efficiency
32.48,14.2,1.05,72.1,2.53,335,86.84,83.69
29.31,12.77,0.14,82.54,2.3,120,95.47,86.11
33.24,10.18,0.86,92.15,3.15,304,83.31,89.65
37.62,8.06,0.24,65.49,1.26,423,97.56,77.67
28.83,12.09,3.3,83.23,2.63,104,83.21,84.47
28.83,11.18,5.9,80.22,2.57,372,86.46,79.07
37.9,12.69,0.15,65.76,1.51,446,93.89,98.29
33.84,11.91,6.21,84.96,2.5,52,87.49,85.69
27.65,13.15,1.48,70.95,2.17,75,98.81,79.11
32.71,8.39,0.71,79.51,1.89,362,89.81,103.0
27.68,13.95,0.16,63.29,1.59,175,85.68,82.32
27.67,10.59,1.39,78.38,1.64,457,70.71,83.95
31.21,16.23,3.16,72.26,3.02,102,82.41,84.32
20.43,7.93,2.46,92.9,2.0,247,78.98,80.76
21.38,15.21,0.1,62.28,2.39,348,92.44,86.24
27.19,10.59,0.15,76.74,1.6,237,76.25,73.95
24.94,8.05,1.03,78.34,1.61,235,76.16,90.43
31.57,8.55,0.7,89.0,2.54,354,75.69,79.36
25.46,9.04,0.53,82.97,1.33,347,73.77,82.92
22.94,11.27,0.66,86.69,1.79,253,79.33,88.76
37.33,11.57,3.25,91.08,2.02,499,96.58,83.98
28.87,8.28,5.3,94.49,2.06,60,93.25,84.18
30.34,9.93,1.04,72.56,1.91,408,92.06,79.94
22.88,16.43,4.73,81.52,2.2,403,93.92,95.48
27.28,15.18,0.78,93.6,2.35,195,78.08,87.66
30.55,11.31,1.29,99.58,2.37,134,96.62,79.59
24.25,10.11,0.51,95.58,1.51,149,74.12,85.89
31.88,10.36,2.05,74.86,1.86,153,80.09,79.23
27.0,11.84,7.72,67.81,2.6,485,87.6,93.61
28.54,6.93,1.85,79.58,2.45,95,73.09,86.0
26.99,9.23,0.89,89.67,1.31,93,91.9,80.12
39.26,4.99,2.09,79.7,2.18,327,81.62,88.49
29.93,11.2,0.26,79.33,1.01,230,93.53,83.61
24.71,11.94,4.39,93.53,2.02,236,84.79,78.56
34.11,8.55,1.4,74.46,2.95,163,75.43,86.91
23.9,14.72,1.19,94.39,1.53,304,92.04,86.76
31.04,6.32,1.76,76.27,1.58,430,77.56,90.69
20.2,5.61,1.96,73.13,2.38,429,84.72,85.32
23.36,10.67,0.15,78.16,1.23,79,72.27,85.54
30.98,13.14,2.3,90.5,1.68,313,88.54,85.8
33.69,15.05,0.55,65.04,2.3,147,89.98,92.98
30.86,8.62,2.5,67.86,1.68,362,81.36,83.45
29.42,13.24,3.46,98.06,1.88,416,98.63,87.35
28.49,9.88,3.26,67.02,2.37,378,96.23,88.08
22.61,9.48,1.61,82.71,2.21,164,91.24,86.75
